True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-15.25, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-15.25, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-16.75, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-13.75, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-17.5, -10.75, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-15.25, -9.625, 0.0, NaN)
True: (-17.35, -11.2, 0.0, NaN) - Estimate: (-19.0, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-18.25, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-11.875, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-18.25, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-17.875, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-19.375, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-11.125, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-8.125, -9.625, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-13.375, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-16.375, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-17.875, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-13.375, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-14.875, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-19.375, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-18.25, -10.75, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-16.375, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-15.625, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-14.875, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-16.0, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-14.5, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-16.0, -10.375, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-14.125, -9.625, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-11.875, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-16.375, -10.0, 0.0, NaN)
True: (-15.5, -9.6, 0.0, NaN) - Estimate: (-9.25, -9.625, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-9.25, -10.375, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-8.125, -10.0, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-12.25, -10.0, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-11.5, -9.625, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-7.75, -11.875, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-7.0, -11.5, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-8.125, -10.0, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-10.0, -9.625, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-10.0, -9.25, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-8.5, -10.0, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-8.125, -10.0, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-9.25, -10.375, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (0.875, -13.375, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-8.125, -9.625, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-9.25, -9.25, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-9.25, -10.375, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-10.375, -9.625, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-10.375, -10.375, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-6.625, -11.5, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-7.375, -12.25, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-14.875, -9.625, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-7.0, -11.875, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-10.0, -10.0, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-8.5, -10.0, 0.0, NaN)
True: (-12.9, -10.5, 0.0, NaN) - Estimate: (-9.25, -10.375, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-11.5, -10.0, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-4.75, -13.75, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-10.375, -9.625, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-10.75, -9.25, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-6.625, -9.25, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-17.125, -9.25, 0.0, NaN)
True: (-10.55, -9.9, 0.0, NaN) - Estimate: (-5.5, -11.5, 0.0, NaN)
