Distance(1.7102631376487054), Percent Closer or Equal(24.96)
Distance(1.4612323566086263), Percent Closer or Equal(20.17)
Distance(3.697688467137274), Percent Closer or Equal(55.65)
Distance(6.654697588921679), Percent Closer or Equal(78.26)
Distance(2.2936651891677653), Percent Closer or Equal(35.48)
Distance(0.4770744176750627), Percent Closer or Equal(2.26)
Distance(1.067941945987702), Percent Closer or Equal(12.7)
Distance(14.151219028762153), Percent Closer or Equal(97.39)
Distance(0.5100980297942738), Percent Closer or Equal(2.52)
Distance(2.931023711947756), Percent Closer or Equal(46.35)
Distance(1.4714618581533125), Percent Closer or Equal(20.26)
Distance(8.113722943261003), Percent Closer or Equal(85.13)
Distance(6.383768479511143), Percent Closer or Equal(77.13)
Distance(0.7545197147855058), Percent Closer or Equal(7.3)
Distance(2.1631689716709612), Percent Closer or Equal(33.22)
Distance(4.207386362101775), Percent Closer or Equal(62.35)
Distance(3.9282184256988564), Percent Closer or Equal(58.35)
Distance(1.3333041663476493), Percent Closer or Equal(18.7)
Distance(3.6585516259853437), Percent Closer or Equal(54.52)
Distance(0.22360679774997816), Percent Closer or Equal(0.17)
Distance(2.5317977802344327), Percent Closer or Equal(39.3)
Distance(6.527641227886226), Percent Closer or Equal(77.91)
Distance(3.2522146300636434), Percent Closer or Equal(49.91)
Distance(6.396905501881359), Percent Closer or Equal(77.39)
Distance(7.106820667499638), Percent Closer or Equal(81.65)
Distance(2.7706497432912736), Percent Closer or Equal(42.35)
Distance(1.0124228365658294), Percent Closer or Equal(11.83)
Distance(1.6731407591712069), Percent Closer or Equal(24.09)
Distance(4.2933087473416105), Percent Closer or Equal(63.13)
Distance(3.1181084009379783), Percent Closer or Equal(48.52)
Distance(12.277011036893304), Percent Closer or Equal(95.13)
Distance(5.839760269052148), Percent Closer or Equal(73.65)
Distance(3.9655012293529803), Percent Closer or Equal(58.52)
Distance(2.278003511849796), Percent Closer or Equal(34.96)
Distance(6.915562160808042), Percent Closer or Equal(80.78)
Distance(4.1161754092846925), Percent Closer or Equal(61.3)
Distance(3.2729955698106283), Percent Closer or Equal(50.26)
Distance(8.421698166047037), Percent Closer or Equal(86.96)
Distance(17.16608575068877), Percent Closer or Equal(98.17)
Distance(2.502878343028282), Percent Closer or Equal(38.78)
Distance(0.9152595260361945), Percent Closer or Equal(9.57)
Distance(2.910755915565577), Percent Closer or Equal(46.09)
Distance(5.7630287176102115), Percent Closer or Equal(73.39)
Distance(10.350545879324434), Percent Closer or Equal(92.0)
Distance(3.0215227948834014), Percent Closer or Equal(47.22)
Distance(1.1510864433221335), Percent Closer or Equal(13.57)
Distance(7.504831776928781), Percent Closer or Equal(83.83)
Distance(1.1510864433221337), Percent Closer or Equal(13.65)
Distance(1.9159592897553956), Percent Closer or Equal(29.48)
Distance(4.2817986874676865), Percent Closer or Equal(62.87)
Distance(2.9217973920174547), Percent Closer or Equal(46.17)
Distance(5.603570290448759), Percent Closer or Equal(72.09)
Distance(5.76064232529672), Percent Closer or Equal(73.3)
Distance(11.314225559003143), Percent Closer or Equal(93.91)
Distance(2.3696624232155936), Percent Closer or Equal(36.96)
Distance(1.5951175505272335), Percent Closer or Equal(22.35)
Distance(6.469350817508662), Percent Closer or Equal(77.74)
Distance(2.024104740372889), Percent Closer or Equal(31.3)
Distance(4.31335136523794), Percent Closer or Equal(63.22)
Distance(1.2747548783981955), Percent Closer or Equal(16.35)
Distance(2.261083810919001), Percent Closer or Equal(34.52)
Distance(0.8558621384311841), Percent Closer or Equal(8.87)
Distance(9.711735169371126), Percent Closer or Equal(89.91)
Distance(4.800260409602796), Percent Closer or Equal(68.09)
Distance(10.571590466907049), Percent Closer or Equal(92.7)
Distance(3.929376540877701), Percent Closer or Equal(58.43)
Distance(8.263485947225904), Percent Closer or Equal(85.83)
Distance(2.2005681084665394), Percent Closer or Equal(34.09)
Distance(8.131377497078832), Percent Closer or Equal(85.3)
Distance(2.296823893989263), Percent Closer or Equal(35.57)
Distance(3.296209944769902), Percent Closer or Equal(50.78)
Distance(3.0316991935216797), Percent Closer or Equal(47.48)
Distance(17.504199496120926), Percent Closer or Equal(98.35)
Distance(1.5913830462839536), Percent Closer or Equal(22.09)
Distance(0.8200609733428366), Percent Closer or Equal(8.09)
Distance(2.4418230894149544), Percent Closer or Equal(38.43)
Distance(3.1460610292872575), Percent Closer or Equal(49.22)
Distance(2.711549372591249), Percent Closer or Equal(41.57)
Distance(11.927501833996926), Percent Closer or Equal(94.87)
Distance(2.309025768587263), Percent Closer or Equal(36.0)
Distance(5.003698632012124), Percent Closer or Equal(68.87)
Distance(10.008412711314417), Percent Closer or Equal(90.96)
Distance(0.6140032573203503), Percent Closer or Equal(5.39)
Distance(7.710382610480495), Percent Closer or Equal(84.09)
Distance(4.761953380704184), Percent Closer or Equal(67.3)
Distance(6.9528771023224625), Percent Closer or Equal(80.87)
Distance(3.573289800729854), Percent Closer or Equal(53.22)
Distance(2.83185451603715), Percent Closer or Equal(44.09)
Distance(12.493010045621512), Percent Closer or Equal(95.83)
Distance(0.7624303246854761), Percent Closer or Equal(7.48)
Distance(0.9861541461658007), Percent Closer or Equal(10.96)
Distance(2.514000795544822), Percent Closer or Equal(39.04)
Distance(25.549984344417904), Percent Closer or Equal(99.22)
Distance(4.001799595182147), Percent Closer or Equal(58.87)
Distance(4.004996878900157), Percent Closer or Equal(59.3)
Distance(3.8694314827891705), Percent Closer or Equal(58.09)
Distance(3.8625380257027895), Percent Closer or Equal(58.0)
Distance(3.707424982383326), Percent Closer or Equal(55.83)
Distance(7.452039989157332), Percent Closer or Equal(82.96)
Distance(4.0650953248355695), Percent Closer or Equal(60.78)
Distance(3.3752185114448507), Percent Closer or Equal(51.57)
Distance(9.7), Percent Closer or Equal(89.39)
Distance(1.4035668847618203), Percent Closer or Equal(19.65)
Distance(0.9347726996441432), Percent Closer or Equal(10.35)
Distance(3.7259763821044274), Percent Closer or Equal(56.26)
Distance(0.3466987164671943), Percent Closer or Equal(0.35)
Distance(0.5374011537017765), Percent Closer or Equal(2.96)
Distance(6.200201609625286), Percent Closer or Equal(76.35)
Distance(3.459046111285595), Percent Closer or Equal(52.17)
Distance(1.0272779565434078), Percent Closer or Equal(12.0)
Distance(6.806247130394252), Percent Closer or Equal(79.22)
Distance(4.468433730066946), Percent Closer or Equal(64.43)
Distance(3.7128560435330646), Percent Closer or Equal(55.91)
Distance(6.393066556825449), Percent Closer or Equal(77.22)
Distance(1.7833115263464205), Percent Closer or Equal(26.52)
Distance(8.063361581871423), Percent Closer or Equal(84.87)
Distance(26.01351187363982), Percent Closer or Equal(99.3)
Distance(3.8928138922892273), Percent Closer or Equal(58.17)
Distance(5.736287998348758), Percent Closer or Equal(73.04)
Distance(3.7648505946451585), Percent Closer or Equal(56.96)
Distance(12.126932835634904), Percent Closer or Equal(95.04)
Distance(1.8768324379123462), Percent Closer or Equal(29.22)
Distance(2.1954498400100135), Percent Closer or Equal(33.83)
Distance(7.380169374750149), Percent Closer or Equal(82.7)
Distance(5.728813140607748), Percent Closer or Equal(72.61)
Distance(4.897193073588175), Percent Closer or Equal(68.43)
Distance(4.603531253288066), Percent Closer or Equal(65.91)
Distance(0.7623647421018365), Percent Closer or Equal(7.39)
Distance(1.8248287590894665), Percent Closer or Equal(28.52)
Distance(7.884319881892161), Percent Closer or Equal(84.52)
Distance(5.5643957443733285), Percent Closer or Equal(71.83)
Distance(2.3521266972678148), Percent Closer or Equal(36.78)
Distance(2.5079872407968904), Percent Closer or Equal(38.87)
Distance(1.600781059358212), Percent Closer or Equal(22.61)
Distance(6.298015560476173), Percent Closer or Equal(76.78)
Distance(4.140000000000001), Percent Closer or Equal(61.65)
Distance(0.9552486587271386), Percent Closer or Equal(10.52)
Distance(3.7165171868296247), Percent Closer or Equal(56.17)
Distance(3.516390194503449), Percent Closer or Equal(52.61)
Distance(1.8006943105369104), Percent Closer or Equal(27.57)
Distance(2.316246964380093), Percent Closer or Equal(36.43)
