Distance(3.106444913401813), Percent Closer or Equal(25.3)
Distance(8.246332518156176), Percent Closer or Equal(65.39)
Distance(3.8589247206961677), Percent Closer or Equal(33.3)
Distance(10.287020948748964), Percent Closer or Equal(72.35)
Distance(6.846897107449475), Percent Closer or Equal(58.26)
Distance(0.6576473218982956), Percent Closer or Equal(2.35)
Distance(2.998799759903952), Percent Closer or Equal(21.3)
Distance(4.129176673381753), Percent Closer or Equal(34.7)
Distance(6.4436169966874965), Percent Closer or Equal(53.91)
Distance(4.252646234992984), Percent Closer or Equal(35.22)
Distance(2.6629307163349187), Percent Closer or Equal(15.48)
Distance(6.003332407921453), Percent Closer or Equal(51.39)
Distance(3.51062672467467), Percent Closer or Equal(30.35)
Distance(6.500538439237168), Percent Closer or Equal(54.26)
Distance(4.956309110618505), Percent Closer or Equal(45.04)
Distance(1.6160754932861279), Percent Closer or Equal(8.43)
Distance(2.723820845797315), Percent Closer or Equal(15.74)
Distance(6.392784995602464), Percent Closer or Equal(53.74)
Distance(11.920570456148479), Percent Closer or Equal(78.43)
Distance(6.509416256470314), Percent Closer or Equal(55.13)
Distance(4.7518417482066875), Percent Closer or Equal(42.7)
Distance(5.726927623080284), Percent Closer or Equal(50.78)
Distance(1.6194134740701642), Percent Closer or Equal(8.78)
Distance(12.624056400380981), Percent Closer or Equal(78.52)
Distance(1.1067971810589325), Percent Closer or Equal(4.7)
Distance(6.640911082073002), Percent Closer or Equal(56.26)
Distance(5.606638921849703), Percent Closer or Equal(50.0)
Distance(3.763509000919222), Percent Closer or Equal(32.61)
Distance(8.20347487349111), Percent Closer or Equal(65.3)
Distance(6.2038455815727716), Percent Closer or Equal(52.26)
Distance(24.30640450580875), Percent Closer or Equal(91.22)
Distance(2.8605593858544522), Percent Closer or Equal(19.48)
Distance(6.7580544537610825), Percent Closer or Equal(57.74)
Distance(10.359777989899206), Percent Closer or Equal(72.52)
Distance(19.31547824932119), Percent Closer or Equal(88.35)
Distance(3.9641518638921998), Percent Closer or Equal(34.26)
Distance(2.4500816312931293), Percent Closer or Equal(13.74)
Distance(5.632166545832962), Percent Closer or Equal(50.09)
Distance(10.437288920021329), Percent Closer or Equal(72.61)
Distance(6.600946901770987), Percent Closer or Equal(56.09)
Distance(13.411282563573106), Percent Closer or Equal(79.91)
Distance(0.5220153254455274), Percent Closer or Equal(0.61)
Distance(8.113796891714752), Percent Closer or Equal(65.13)
Distance(1.0863240768757727), Percent Closer or Equal(3.74)
Distance(11.023538451876512), Percent Closer or Equal(73.39)
Distance(7.398330892843331), Percent Closer or Equal(59.74)
Distance(1.9180198122021577), Percent Closer or Equal(9.91)
Distance(2.7518175811634027), Percent Closer or Equal(16.78)
Distance(5.6449092109616785), Percent Closer or Equal(50.17)
Distance(5.160002422480051), Percent Closer or Equal(46.09)
Distance(11.679255113233893), Percent Closer or Equal(76.17)
Distance(7.576734124938), Percent Closer or Equal(60.43)
Distance(2.1341274563624357), Percent Closer or Equal(10.7)
Distance(3.2144206320890856), Percent Closer or Equal(26.78)
Distance(5.170145065663052), Percent Closer or Equal(46.43)
Distance(9.214000217060992), Percent Closer or Equal(69.74)
Distance(6.663520090762838), Percent Closer or Equal(57.13)
Distance(3.153173005085513), Percent Closer or Equal(25.57)
Distance(8.461329682738997), Percent Closer or Equal(67.13)
Distance(9.222933372848358), Percent Closer or Equal(70.0)
Distance(1.1795338062132845), Percent Closer or Equal(5.74)
Distance(12.890841710299604), Percent Closer or Equal(78.87)
Distance(7.454830648646554), Percent Closer or Equal(59.83)
Distance(5.589221770515104), Percent Closer or Equal(49.91)
Distance(10.044426315126215), Percent Closer or Equal(72.09)
Distance(6.950239204516634), Percent Closer or Equal(58.52)
Distance(6.3075351762792415), Percent Closer or Equal(53.48)
Distance(2.0402205763103147), Percent Closer or Equal(10.17)
Distance(7.713138142157185), Percent Closer or Equal(61.48)
Distance(5.338773267333985), Percent Closer or Equal(48.35)
Distance(0.8453401682163225), Percent Closer or Equal(2.96)
Distance(15.259914809722892), Percent Closer or Equal(83.39)
Distance(2.6474138324032372), Percent Closer or Equal(15.3)
Distance(9.139496703867232), Percent Closer or Equal(68.52)
Distance(16.798214934926865), Percent Closer or Equal(86.52)
Distance(7.592265801458745), Percent Closer or Equal(61.22)
Distance(16.153792124451765), Percent Closer or Equal(85.83)
Distance(1.0071742649611337), Percent Closer or Equal(3.57)
Distance(2.953303235362058), Percent Closer or Equal(20.43)
Distance(15.968932337510859), Percent Closer or Equal(84.78)
Distance(2.81824413420839), Percent Closer or Equal(19.22)
Distance(5.397962578603152), Percent Closer or Equal(48.7)
Distance(3.6961060590843444), Percent Closer or Equal(32.17)
Distance(4.550274716981383), Percent Closer or Equal(39.22)
Distance(19.84064515080092), Percent Closer or Equal(88.87)
Distance(13.234141453075072), Percent Closer or Equal(79.83)
Distance(4.27551166528639), Percent Closer or Equal(35.39)
Distance(5.678283191247158), Percent Closer or Equal(50.61)
Distance(11.413119643638195), Percent Closer or Equal(75.65)
Distance(6.743834220975484), Percent Closer or Equal(57.65)
Distance(5.067938436879438), Percent Closer or Equal(45.48)
Distance(8.723531395025756), Percent Closer or Equal(67.57)
Distance(1.1704699910719618), Percent Closer or Equal(5.39)
Distance(16.194577024423946), Percent Closer or Equal(86.09)
Distance(2.2343902971504326), Percent Closer or Equal(11.22)
Distance(3.0193542355940948), Percent Closer or Equal(22.17)
Distance(18.700385022774263), Percent Closer or Equal(87.22)
Distance(6.96311711807291), Percent Closer or Equal(58.7)
Distance(3.110064308016797), Percent Closer or Equal(25.48)
Distance(4.492705198430006), Percent Closer or Equal(38.61)
Distance(5.763896251668658), Percent Closer or Equal(50.96)
Distance(0.6307138812488594), Percent Closer or Equal(2.0)
Distance(0.8015609770940706), Percent Closer or Equal(2.61)
Distance(0.914002188181188), Percent Closer or Equal(3.39)
Distance(1.5030635382444748), Percent Closer or Equal(7.57)
Distance(1.8873261509341723), Percent Closer or Equal(9.57)
Distance(4.815018172343693), Percent Closer or Equal(43.22)
Distance(5.116756785308444), Percent Closer or Equal(45.74)
Distance(5.373583534290688), Percent Closer or Equal(48.52)
Distance(1.3645878498652995), Percent Closer or Equal(6.7)
Distance(7.9738635553914525), Percent Closer or Equal(62.09)
Distance(16.547658444625934), Percent Closer or Equal(86.17)
Distance(4.614108798023731), Percent Closer or Equal(40.43)
Distance(36.749174140380354), Percent Closer or Equal(99.91)
Distance(8.783194179795867), Percent Closer or Equal(67.65)
Distance(3.5672398293358407), Percent Closer or Equal(31.57)
Distance(24.58444884474736), Percent Closer or Equal(95.48)
Distance(2.977331019554258), Percent Closer or Equal(20.96)
Distance(7.00178548657412), Percent Closer or Equal(58.78)
Distance(0.17804493814764866), Percent Closer or Equal(0.0)
Distance(0.5303772242470441), Percent Closer or Equal(1.48)
Distance(2.2786180022109894), Percent Closer or Equal(11.57)
Distance(6.063992084427551), Percent Closer or Equal(51.91)
Distance(8.016389461596786), Percent Closer or Equal(64.61)
Distance(9.936699653305416), Percent Closer or Equal(72.0)
Distance(1.9137920472193415), Percent Closer or Equal(9.74)
Distance(2.430329195808667), Percent Closer or Equal(13.48)
Distance(4.484462063614766), Percent Closer or Equal(38.52)
Distance(9.435634583852853), Percent Closer or Equal(70.17)
Distance(11.164676439557038), Percent Closer or Equal(74.52)
Distance(0.5503635162326804), Percent Closer or Equal(1.91)
Distance(5.171740519399634), Percent Closer or Equal(46.78)
Distance(3.008155581082867), Percent Closer or Equal(22.0)
