198: Distance(19.909324448609503), Percent Closer or Equal(84.09)
199: Distance(19.909324448609503), Percent Closer or Equal(84.09)
200: Distance(19.909324448609503), Percent Closer or Equal(84.09)
201: Distance(19.909324448609503), Percent Closer or Equal(84.09)
202: Distance(19.909324448609503), Percent Closer or Equal(84.09)
203: Distance(19.909324448609503), Percent Closer or Equal(84.09)
204: Distance(19.909324448609503), Percent Closer or Equal(84.09)
205: Distance(19.69865223816086), Percent Closer or Equal(82.17)
206: Distance(19.69865223816086), Percent Closer or Equal(82.17)
207: Distance(19.69865223816086), Percent Closer or Equal(82.17)
208: Distance(19.69865223816086), Percent Closer or Equal(82.17)
209: Distance(19.69865223816086), Percent Closer or Equal(82.17)
210: Distance(19.69865223816086), Percent Closer or Equal(82.17)
211: Distance(19.69865223816086), Percent Closer or Equal(82.17)
212: Distance(19.69865223816086), Percent Closer or Equal(82.17)
213: Distance(19.69865223816086), Percent Closer or Equal(82.17)
214: Distance(19.69865223816086), Percent Closer or Equal(82.17)
215: Distance(19.69865223816086), Percent Closer or Equal(82.17)
216: Distance(19.69865223816086), Percent Closer or Equal(82.17)
217: Distance(19.69865223816086), Percent Closer or Equal(82.17)
218: Distance(19.69865223816086), Percent Closer or Equal(82.17)
219: Distance(19.69865223816086), Percent Closer or Equal(82.17)
220: Distance(19.69865223816086), Percent Closer or Equal(82.17)
221: Distance(19.69865223816086), Percent Closer or Equal(82.17)
222: Distance(19.69865223816086), Percent Closer or Equal(82.17)
223: Distance(19.69865223816086), Percent Closer or Equal(82.17)
224: Distance(19.517348692893712), Percent Closer or Equal(80.52)
225: Distance(15.492026981644461), Percent Closer or Equal(80.43)
226: Distance(15.492026981644461), Percent Closer or Equal(80.43)
227: Distance(14.042179318040345), Percent Closer or Equal(80.26)
228: Distance(14.042179318040345), Percent Closer or Equal(80.26)
229: Distance(14.042179318040345), Percent Closer or Equal(80.26)
230: Distance(13.850090252413521), Percent Closer or Equal(80.0)
231: Distance(13.770359472432084), Percent Closer or Equal(79.91)
232: Distance(13.49121566056966), Percent Closer or Equal(79.83)
233: Distance(13.139330272125745), Percent Closer or Equal(79.74)
234: Distance(13.139330272125745), Percent Closer or Equal(79.74)
235: Distance(13.139330272125745), Percent Closer or Equal(79.74)
236: Distance(13.139330272125745), Percent Closer or Equal(79.74)
237: Distance(13.139330272125745), Percent Closer or Equal(79.74)
238: Distance(13.000961502904314), Percent Closer or Equal(79.3)
239: Distance(13.000961502904314), Percent Closer or Equal(79.3)
240: Distance(13.000961502904314), Percent Closer or Equal(79.3)
241: Distance(13.000961502904314), Percent Closer or Equal(79.3)
242: Distance(13.000961502904314), Percent Closer or Equal(79.3)
243: Distance(13.000961502904314), Percent Closer or Equal(79.3)
244: Distance(13.000961502904314), Percent Closer or Equal(79.3)
245: Distance(13.000961502904314), Percent Closer or Equal(79.3)
246: Distance(13.000961502904314), Percent Closer or Equal(79.3)
247: Distance(13.000961502904314), Percent Closer or Equal(79.3)
248: Distance(13.000961502904314), Percent Closer or Equal(79.3)
249: Distance(12.549613539866478), Percent Closer or Equal(78.35)
250: Distance(12.173450620099464), Percent Closer or Equal(78.26)
251: Distance(12.173450620099464), Percent Closer or Equal(78.26)
252: Distance(12.173450620099464), Percent Closer or Equal(78.26)
253: Distance(11.765211430314373), Percent Closer or Equal(78.0)
254: Distance(11.765211430314373), Percent Closer or Equal(78.0)
255: Distance(11.765211430314373), Percent Closer or Equal(78.0)
256: Distance(11.765211430314373), Percent Closer or Equal(78.0)
257: Distance(11.765211430314373), Percent Closer or Equal(78.0)
258: Distance(11.765211430314373), Percent Closer or Equal(78.0)
259: Distance(11.765211430314373), Percent Closer or Equal(78.0)
260: Distance(11.765211430314373), Percent Closer or Equal(78.0)
261: Distance(11.656311595011521), Percent Closer or Equal(77.3)
262: Distance(11.481506869744928), Percent Closer or Equal(77.22)
263: Distance(11.405700329221348), Percent Closer or Equal(77.13)
264: Distance(11.405700329221348), Percent Closer or Equal(77.13)
265: Distance(11.405700329221348), Percent Closer or Equal(77.13)
266: Distance(11.336348618492641), Percent Closer or Equal(76.87)
267: Distance(11.336348618492641), Percent Closer or Equal(76.87)
268: Distance(11.336348618492641), Percent Closer or Equal(76.87)
269: Distance(11.22605006224362), Percent Closer or Equal(76.61)
270: Distance(11.110544541110485), Percent Closer or Equal(76.52)
271: Distance(11.110544541110485), Percent Closer or Equal(76.52)
272: Distance(11.110544541110485), Percent Closer or Equal(76.52)
273: Distance(11.110544541110485), Percent Closer or Equal(76.52)
274: Distance(10.905819547379279), Percent Closer or Equal(76.17)
275: Distance(10.905819547379279), Percent Closer or Equal(76.17)
276: Distance(10.905819547379279), Percent Closer or Equal(76.17)
277: Distance(10.905819547379279), Percent Closer or Equal(76.17)
278: Distance(10.905819547379279), Percent Closer or Equal(76.17)
279: Distance(10.817120688981888), Percent Closer or Equal(75.74)
280: Distance(10.602947703351177), Percent Closer or Equal(75.65)
281: Distance(10.522970113043181), Percent Closer or Equal(75.57)
282: Distance(10.513087082298899), Percent Closer or Equal(75.48)
283: Distance(10.513087082298899), Percent Closer or Equal(75.48)
284: Distance(10.513087082298899), Percent Closer or Equal(75.48)
285: Distance(10.513087082298899), Percent Closer or Equal(75.48)
286: Distance(10.513087082298899), Percent Closer or Equal(75.48)
287: Distance(10.513087082298899), Percent Closer or Equal(75.48)
288: Distance(10.494422328075043), Percent Closer or Equal(74.96)
289: Distance(9.610629531929737), Percent Closer or Equal(74.87)
290: Distance(9.610629531929737), Percent Closer or Equal(74.87)
291: Distance(9.362830768522947), Percent Closer or Equal(74.7)
292: Distance(9.06228448019593), Percent Closer or Equal(74.61)
293: Distance(8.965071109589706), Percent Closer or Equal(74.52)
294: Distance(8.965071109589706), Percent Closer or Equal(74.52)
295: Distance(8.965071109589706), Percent Closer or Equal(74.52)
296: Distance(8.965071109589706), Percent Closer or Equal(74.52)
297: Distance(8.965071109589706), Percent Closer or Equal(74.52)
298: Distance(8.965071109589706), Percent Closer or Equal(74.52)
299: Distance(8.965071109589706), Percent Closer or Equal(74.52)
300: Distance(8.965071109589706), Percent Closer or Equal(74.52)
301: Distance(8.965071109589706), Percent Closer or Equal(74.52)
302: Distance(8.965071109589706), Percent Closer or Equal(74.52)
303: Distance(8.965071109589706), Percent Closer or Equal(74.52)
304: Distance(8.85353036929337), Percent Closer or Equal(73.57)
305: Distance(8.85353036929337), Percent Closer or Equal(73.57)
306: Distance(8.85353036929337), Percent Closer or Equal(73.57)
307: Distance(8.833051567833168), Percent Closer or Equal(73.3)
308: Distance(8.833051567833168), Percent Closer or Equal(73.3)
309: Distance(8.833051567833168), Percent Closer or Equal(73.3)
310: Distance(8.492643875731513), Percent Closer or Equal(73.04)
311: Distance(8.488963423174823), Percent Closer or Equal(72.96)
312: Distance(8.488963423174823), Percent Closer or Equal(72.96)
313: Distance(8.488963423174823), Percent Closer or Equal(72.96)
314: Distance(8.488963423174823), Percent Closer or Equal(72.96)
315: Distance(8.488963423174823), Percent Closer or Equal(72.96)
316: Distance(8.488963423174823), Percent Closer or Equal(72.96)
317: Distance(8.488963423174823), Percent Closer or Equal(72.96)
318: Distance(8.488963423174823), Percent Closer or Equal(72.96)
319: Distance(8.488963423174823), Percent Closer or Equal(72.96)
