225: Distance(6.17), Percent Closer(80.43)
226: Distance(6.1), Percent Closer(80.35)
227: Distance(6.08), Percent Closer(80.26)
228: Distance(6.08), Percent Closer(80.17)
229: Distance(6.08), Percent Closer(80.09)
230: Distance(6.08), Percent Closer(80.0)
231: Distance(6.07), Percent Closer(79.91)
232: Distance(6.04), Percent Closer(79.83)
233: Distance(6.04), Percent Closer(79.74)
234: Distance(6.04), Percent Closer(79.65)
235: Distance(6.04), Percent Closer(79.57)
236: Distance(6.03), Percent Closer(79.48)
237: Distance(6.03), Percent Closer(79.39)
238: Distance(6.03), Percent Closer(79.3)
239: Distance(6.03), Percent Closer(79.22)
240: Distance(5.96), Percent Closer(79.13)
241: Distance(5.95), Percent Closer(79.04)
242: Distance(5.94), Percent Closer(78.96)
243: Distance(5.94), Percent Closer(78.87)
244: Distance(5.94), Percent Closer(78.78)
245: Distance(5.94), Percent Closer(78.7)
246: Distance(5.94), Percent Closer(78.61)
247: Distance(5.94), Percent Closer(78.52)
248: Distance(5.94), Percent Closer(78.43)
249: Distance(5.94), Percent Closer(78.35)
250: Distance(5.94), Percent Closer(78.26)
251: Distance(5.94), Percent Closer(78.17)
252: Distance(5.94), Percent Closer(78.09)
253: Distance(5.91), Percent Closer(78.0)
254: Distance(5.91), Percent Closer(77.91)
255: Distance(5.91), Percent Closer(77.83)
256: Distance(5.91), Percent Closer(77.74)
257: Distance(5.91), Percent Closer(77.65)
258: Distance(5.91), Percent Closer(77.57)
259: Distance(5.91), Percent Closer(77.48)
260: Distance(5.91), Percent Closer(77.39)
261: Distance(5.91), Percent Closer(77.3)
262: Distance(5.9), Percent Closer(77.22)
263: Distance(5.88), Percent Closer(77.13)
264: Distance(5.88), Percent Closer(77.04)
265: Distance(5.88), Percent Closer(76.96)
266: Distance(5.88), Percent Closer(76.87)
267: Distance(5.88), Percent Closer(76.78)
268: Distance(5.88), Percent Closer(76.7)
269: Distance(5.88), Percent Closer(76.61)
270: Distance(5.88), Percent Closer(76.52)
